driveWorkAccessibility,1.02202394105842,0.0291364654723
driveSecondaryAccessibility,0.980639748391202,0.053456135999976
transitWorkAccessibility,1,0
transitSecondaryAccessibility,1,0
averageVehicleDelayPerPassengerTrip,1.08787699453574,0.097361975008463
motorizedVehicleMilesTraveled_total,1.01097586844806,0.005662234160485
busCrowding,1.00578055007663,0.03614104633854
averageTravelCostBurden_Work,0.621776999219788,0.140549883368841
averageTravelCostBurden_Secondary,2.10827244687695,0.39943085694448
costBenefitAnalysis,1.21610937896315,0.053026602161093
sustainability_GHG,1.00561633654149,0.006636913108424
sustainability_PM,1.00674346434164,0.007968857733993
TollRevenue,0,1
